fetch_time_utc,latest_market_date,previous_regime,top_regime,prob_R0,prob_R1,prob_R2,prob_R3,us10y_level,us30y_level,us10y_20d_change_bp,us30y_20d_change_bp,dxy_20d_return,spy_20d_return,qqq_20d_return,iwm_spy_20d_relative,eem_spy_20d_relative,tlt_20d_return,hyg_20d_return,hy_oas_20d_change_bp,ig_oas_20d_change_bp
2026-05-17T11:11:19.588800+00:00,2026-05-15,,R1,0.0655792864230615,0.7228920411580229,0.0655792864230615,0.1459493859958539,,,,,1.1926587024911672,4.087921770763803,9.259462025191434,-3.4279727779888525,-1.8409068133620643,-3.5615822484453608,-0.9592468666833942,,
2026-05-17T12:03:43.863364+00:00,2026-05-15,R1,R1,0.1859213531939104,0.637984153622282,0.0828709285061726,0.0932235646776349,4.47,5.02,14.999999999999948,8.999999999999986,1.1926587024911672,4.087921770763803,9.259462025191434,-3.4279727779888525,-1.8409068133620643,-3.5615822484453608,-0.9592468666833942,-10.000000000000009,-5.000000000000004
2026-05-19T11:41:34.658670+00:00,2026-05-19,R1,R1,0.1859213531939104,0.637984153622282,0.0828709285061726,0.0932235646776349,4.59,5.12,33.00000000000001,24.00000000000002,0.8373107071388608,4.223114198580258,9.135890917124057,-4.720682200182336,-1.3899377077901676,-3.654739717066768,-0.7733998202675174,-3.000000000000025,-5.000000000000004
2026-05-20T10:37:50.103259+00:00,2026-05-20,R1,R1,0.1387844714124276,0.7158177739671615,0.0733541562053655,0.0720435984150453,4.61,5.14,35.00000000000006,25.99999999999998,0.8094169591564615,4.211163881835156,8.877440238680578,-4.761238455405071,-0.9822447874890284,-3.746608737941459,-0.7517836276981105,-4.000000000000004,-6.000000000000005
2026-05-21T11:53:02.158419+00:00,2026-05-21,R1,R1,0.1859213531939104,0.637984153622282,0.0828709285061726,0.0932235646776349,4.67,5.18,37.000000000000014,29.000000000000004,0.4554624841524024,4.223784409564835,8.85958699459497,-2.997661725770895,-0.9419952311108482,-2.90539973270022,-0.2751923416786539,0.9999999999999788,-4.000000000000004
2026-05-22T10:37:21.114924+00:00,2026-05-22,R1,R1,0.2551655055156321,0.5236464448214188,0.0968510817514198,0.1243369679115292,4.57,5.11,27.00000000000005,21.0,0.8090519267376806,4.837314970089812,9.68500023189649,-2.307552521399648,1.0648508602801643,-2.332766440410861,-0.0638589530166267,-4.000000000000004,-4.000000000000004
2026-05-23T07:57:21.904150+00:00,2026-05-22,R1,R1,0.3326696411284611,0.3956696411284611,0.1124988968618355,0.1591618208812423,4.57,5.1,23.000000000000043,17.99999999999997,0.8222490519019576,4.440150726759828,8.082781940992966,-1.3785199992809805,-1.0827683630971086,-1.980520053976531,-0.187960610225879,-8.000000000000007,-5.000000000000004
2026-05-27T12:02:47.334070+00:00,2026-05-27,R1,R1,0.3326696411284611,0.3956696411284611,0.1124988968618355,0.1591618208812423,4.56,5.07,25.0,16.000000000000014,0.5252461237810868,4.952674859364481,9.943852396050112,-0.1284003372793662,2.526901164963258,-1.0034270897179676,0.1119684605975113,-9.999999999999964,-7.000000000000006
2026-05-28T12:48:05.102672+00:00,2026-05-28,R1,R0,0.5224248715218222,0.2383098171495287,0.1024554941791204,0.1368098171495287,4.5,5.03,15.000000000000036,8.999999999999986,0.2790143365056563,5.4475992915808735,10.934533609435704,0.5616706273750216,3.1251861780020587,-0.8741701421397519,0.1864210890204276,-12.99999999999999,-7.000000000000006
2026-05-29T11:56:56.948696+00:00,2026-05-29,R0,R0,0.6274248715218221,0.1753098171495287,0.0604554941791203,0.1368098171495287,4.48,5.01,12.00000000000001,6.99999999999994,0.9818489177663592,6.04569513798785,11.190042995017224,1.286711945078678,3.397600624217456,0.4161088050049111,0.6494608420269055,-10.999999999999988,-7.000000000000006
2026-05-30T08:41:45.400701+00:00,2026-05-29,R0,R0,0.6274248715218221,0.1753098171495287,0.0604554941791203,0.1368098171495287,4.45,4.98,3.000000000000025,0.0,0.8462498119488071,5.262573224822242,10.568485990999111,-0.7800782072447499,1.9416722428030608,0.5333823684742223,0.4364615623003498,-10.999999999999988,-8.000000000000007
2026-06-02T12:56:10.683567+00:00,2026-06-02,R0,R0,0.6274248715218221,0.1753098171495287,0.0604554941791203,0.1368098171495287,4.45,4.99,4.999999999999982,0.9999999999999788,0.6184636459006354,5.257746802144125,10.174288116347308,-1.784525572758211,4.020289736863526,0.229155816740123,0.235675945527003,-3.999999999999959,-6.000000000000005
2026-06-03T16:10:12.955637+00:00,2026-06-03,R0,R0,0.4376696411284611,0.3326696411284611,0.0704988968618355,0.1591618208812423,,,,,0.9981661718948764,4.335632042777315,9.082911857248588,-2.373212211362752,2.430415845787804,0.0701656235066572,0.2037627210172088,-4.000000000000004,-4.000000000000004
2026-06-04T11:30:30.680431+00:00,2026-06-04,R0,R1,0.2803098171495287,0.5224248715218222,0.0604554941791203,0.1368098171495287,,,,,1.2222053838993665,4.20989677395851,9.18414312677738,-2.401425683467018,2.7014129165738865,0.2523129282806291,0.2100475478332919,-4.000000000000004,-4.000000000000004
2026-06-05T11:48:27.985669+00:00,2026-06-05,R1,R0,0.3969421099947566,0.2895413027381913,0.1254752845288605,0.1880413027381913,,,,,0.9770983048067672,3.1696727067485497,6.444653342568829,-1.353068036452254,-0.7841331285707742,-0.2831078563787059,0.0980941382294986,-4.000000000000004,-5.000000000000004
2026-06-06T09:14:37.562231+00:00,2026-06-05,R0,R1,0.2873671008973051,0.5573798267527149,0.06362653617499,0.09162653617499,,,,,1.8524169921875,0.8160379676406482,1.4562401188066287,-1.0321563861325769,-3.8194921048831376,-0.2982293587572515,-0.0293160178381213,-6.999999999999984,-5.000000000000004
2026-06-09T10:51:54.308531+00:00,2026-06-09,R1,R1,0.182367100897305,0.6203798267527149,0.10562653617499,0.09162653617499,,,,,1.8633825839794227,0.216910549677185,0.680515021636019,-0.2380345505693992,-3.4403464677064566,-1.3094305605396706,-0.2406365558390577,-3.000000000000025,-4.000000000000004
2026-06-10T12:38:53.745575+00:00,2026-06-10,R1,R1,0.182367100897305,0.6203798267527149,0.10562653617499,0.09162653617499,,,,,2.0389973134311568,0.216910549677185,0.680515021636019,-0.2380345505693992,-3.4403464677064566,-1.3094305605396706,-0.2406365558390577,-6.999999999999984,-2.0000000000000018
2026-06-11T13:06:47.552029+00:00,2026-06-11,R1,R1,0.1692298315050484,0.5553105054848545,0.1447298315050484,0.1307298315050484,,,,,1.599306351091112,-1.7272210201448757,-1.9158967224800705,1.543188915614635,-0.0351552151835798,0.2633973326277461,0.0084970275285423,-4.000000000000004,-1.0000000000000009
2026-06-12T12:07:26.807393+00:00,2026-06-12,R1,R1,0.311741706366474,0.3747417063664741,0.1637582936335259,0.1497582936335259,,,,,0.898058771184429,-0.6129498198775951,0.3371959354759868,3.3511214923934607,1.0444345981512115,1.7903131855809162,0.5496120529453918,4.000000000000004,-1.0000000000000009
2026-06-13T10:13:50.489563+00:00,2026-06-12,R1,R1,0.311741706366474,0.3747417063664741,0.1637582936335259,0.1497582936335259,,,,,0.8798571710639358,-0.8580914841283094,0.2153473756849377,3.8463142421619634,1.6001514728212318,1.3982109718341906,0.6251729842449594,-2.0000000000000018,0.0
2026-06-16T18:13:34.926101+00:00,2026-06-16,R1,R0,0.5573798267527149,0.245367100897305,0.10562653617499,0.09162653617499,4.48,4.97,1.0000000000000675,-4.999999999999982,0.5506700638812534,1.8317156724460213,4.031849857736236,4.845986815080772,4.853543060320442,3.703343839500839,1.162029171145318,-19.99999999999997,-3.0000000000000027
2026-06-17T02:01:24.356396+00:00,2026-06-16,R0,R0,0.6623798267527149,0.182367100897305,0.06362653617499,0.09162653617499,4.47,4.97,-12.00000000000001,-15.000000000000036,0.5567368855666333,1.5812620713099523,3.3971752001575872,4.508014793115822,4.616633655576008,3.553162322808689,1.1310719350335674,-19.99999999999997,-3.0000000000000027
2026-06-18T02:01:20.833835+00:00,2026-06-17,R0,R0,0.6274248715218221,0.1753098171495287,0.0604554941791203,0.1368098171495287,4.43,4.93,-18.00000000000006,-21.0,0.9798585527200476,0.9853817748168404,2.990603337362141,5.450281814644953,6.260730577240525,4.396010541228845,0.9932258661818684,-8.999999999999986,0.0
2026-06-19T02:17:07.425077+00:00,2026-06-18,R0,R0,0.4629059751685255,0.3579059751685255,0.07559402483147454,0.10359402483147455,4.49,4.93,-17.99999999999997,-25.0,1.7657148514004017,1.0001706370109886,3.8519203200890084,4.867887624510492,7.704306970732677,3.7912173275027827,0.7006749117686839,-14.999999999999991,-1.0000000000000009
